,precision,recall,f1-score,support
Suzuki Aerio Sedan 2007,0.8292682926829268,0.8947368421052632,0.860759493670886,38.0
Suzuki Kizashi Sedan 2012,0.7857142857142857,0.9565217391304348,0.8627450980392156,46.0
Suzuki SX4 Hatchback 2012,0.9512195121951219,0.9285714285714286,0.9397590361445782,42.0
Suzuki SX4 Sedan 2012,0.90625,0.725,0.8055555555555555,40.0
Tesla Model S Sedan 2012,1.0,0.8947368421052632,0.9444444444444444,38.0
Toyota 4Runner SUV 2012,0.975,0.975,0.975,40.0
Toyota Camry Sedan 2012,0.8888888888888888,0.9302325581395349,0.9090909090909092,43.0
Toyota Corolla Sedan 2012,0.8809523809523809,0.8604651162790697,0.8705882352941177,43.0
Toyota Sequoia SUV 2012,0.9714285714285714,0.8947368421052632,0.9315068493150684,38.0
Volkswagen Beetle Hatchback 2012,1.0,0.9761904761904762,0.9879518072289156,42.0
Volkswagen Golf Hatchback 1991,0.9183673469387755,0.9782608695652174,0.9473684210526316,46.0
Volkswagen Golf Hatchback 2012,1.0,0.9069767441860465,0.951219512195122,43.0
Volvo 240 Sedan 1993,0.9545454545454546,0.9333333333333333,0.9438202247191012,45.0
Volvo C30 Hatchback 2012,1.0,0.8780487804878049,0.9350649350649352,41.0
Volvo XC90 SUV 2007,0.9545454545454546,0.9767441860465116,0.9655172413793104,43.0
smart fortwo Convertible 2012,0.975609756097561,1.0,0.9876543209876543,40.0
avg/Total,0.8925750684427161,0.8845774373873236,0.8840874992113489,8041.0
